Malware Family,IOC Type,IOC
WyrmSpy,SHA1,92ddbe438c8c8c1ef82fa5bb02e526db10829736
WyrmSpy,SHA1,0b4a9a3f167178054ef9f9a97463cbe31f078c2f
WyrmSpy,SHA1,d713b8b0f3764157cc18d5dc1cb0f9c558067728
WyrmSpy,SHA1,589d88093dad377d46f34415a7f9df11d65b81ed
WyrmSpy,SHA1,ab560af6bafff8f58ea5bc53c0391501415aed14
WyrmSpy,SHA1,5891fa6a3a8232192ebd57a171bad29f53c7598c
WyrmSpy,SHA1,4405af38c4a6b6130fcf242a11b0ce7963a1be28
WyrmSpy,SHA1,5c16637848d6f1eb4aa6c5b2a4928a1144cd2113
WyrmSpy,SHA1,2fbd56b1f3859c6d03dec47f8fcee7e37dc303a1
WyrmSpy,SHA1,085191fb59d3933f8447610126600754b35697d4
WyrmSpy,SHA1,d634a548973c7931e224a41201be0a273d561cff
WyrmSpy,SHA1,971f4cd569ad9f84e654b62bffdba3a4aa21d4e9
WyrmSpy,SHA1,331acbdd270acecfa80bc7b4e37629611593de0a
WyrmSpy,SHA1,215847e4c41144365b94cb924d969dbc5e69052b
WyrmSpy,SHA1,cc351ffbe748b1db43de6dcd40934fe23986e753
WyrmSpy,SHA1,85ca8cd21d70668bd2aab9c53163f5e03a0e1a8b
WyrmSpy,SHA1,6dd20f7b9ccbd961d155fff78452303a54714841
WyrmSpy,SHA1,d02f548d354adff645318de6edc45dff23170241
WyrmSpy,SHA1,2438069c43771f0011da2f22b57b8336aaa7562c
WyrmSpy,SHA1,5c2fc57609ee28753b78a0f33ba7519fc9fbb6f8
WyrmSpy,SHA1,53c745956c3501d1daf232aeea5edfb52168c6b4
WyrmSpy,SHA1,dfff9ae245cc0beed8fdf409c00ec758d7d2678f
WyrmSpy,SHA1,517ec909bc9e308b44d59dfd144188d1e23f57bc
WyrmSpy,SHA1,232b868e36f064b4151e4386835642fc8bf07e0b
WyrmSpy,SHA1,92ddbe438c8c8c1ef82fa5bb02e526db10829736
WyrmSpy,SHA1,9b6297825a6c00b3af16748684d4de551cc7be75
WyrmSpy,SHA1,0b4a9a3f167178054ef9f9a97463cbe31f078c2f
WyrmSpy,SHA1,d713b8b0f3764157cc18d5dc1cb0f9c558067728
WyrmSpy,SHA1,589d88093dad377d46f34415a7f9df11d65b81ed
WyrmSpy,SHA1,ab560af6bafff8f58ea5bc53c0391501415aed14
WyrmSpy,SHA1,5891fa6a3a8232192ebd57a171bad29f53c7598c
WyrmSpy,SHA1,e514042565ffb2811f780227fee5ed5683925d49
WyrmSpy,SHA1,4405af38c4a6b6130fcf242a11b0ce7963a1be28
WyrmSpy,SHA1,17e6bbed5e43ec5b8d2821e0145da7ee32a58ea6
WyrmSpy,SHA1,5c16637848d6f1eb4aa6c5b2a4928a1144cd2113
WyrmSpy,SHA1,2fbd56b1f3859c6d03dec47f8fcee7e37dc303a1
WyrmSpy,SHA1,085191fb59d3933f8447610126600754b35697d4
WyrmSpy,SHA1,d634a548973c7931e224a41201be0a273d561cff
WyrmSpy,SHA1,971f4cd569ad9f84e654b62bffdba3a4aa21d4e9
WyrmSpy,SHA1,331acbdd270acecfa80bc7b4e37629611593de0a
WyrmSpy,SHA1,58cda5e4607557d79bc5e36764b577f17e77af49
WyrmSpy,SHA1,a9d2f59b8457c6998b654054084b102adfcf3306
WyrmSpy,SHA1,215847e4c41144365b94cb924d969dbc5e69052b
WyrmSpy,SHA1,cc351ffbe748b1db43de6dcd40934fe23986e753
WyrmSpy,SHA1,85ca8cd21d70668bd2aab9c53163f5e03a0e1a8b
WyrmSpy,SHA1,6dd20f7b9ccbd961d155fff78452303a54714841
WyrmSpy,SHA1,d02f548d354adff645318de6edc45dff23170241
WyrmSpy,SHA1,2438069c43771f0011da2f22b57b8336aaa7562c
WyrmSpy,SHA1,5c2fc57609ee28753b78a0f33ba7519fc9fbb6f8
WyrmSpy,SHA1,53c745956c3501d1daf232aeea5edfb52168c6b4
WyrmSpy,IP,116.205.4.18
WyrmSpy,Domain,dns.win10micros0ft.com
WyrmSpy,Domain,www.andropwn.xyz
WyrmSpy,IP,121.42.149.52
WyrmSpy,Domain,update.umisen.com
