Malware Family,IOC Type,IOC
EagleMsgSpy,SHA1,dab40467824ff3960476d924ada91997ddfce0b0
EagleMsgSpy,SHA1,fef7ad2b74db3e42909c04816c66c61c61b7a8c4
EagleMsgSpy,SHA1,ddc729ecf21dd74e51e1a2f5c8b1d2d06ed4a559
EagleMsgSpy,SHA1,f092dfab5b1fbff38361077f87805403318badfa
EagleMsgSpy,SHA1,d4e943ba47f762194bcf3c07be25a9f6ea5a36b0
EagleMsgSpy,SHA1,cea796beb252d1ab7db01d8a0103f7cca5d0955d
EagleMsgSpy,SHA1,5208039ef9efb317cc2ed7085ca98386ec31b0b4
EagleMsgSpy,SHA1,5d935d5ab7b7c6b301a4c79807c33e0bee23e3ff
EagleMsgSpy,SHA1,5e282b0395093c478c36eda9b4ee50c92d8cf6eb
EagleMsgSpy,SHA1,ec580142c0dff25b43f8525f9078dd3d6a99361c
EagleMsgSpy,SHA1,87d925a95d584e4c46545579b01713f6d74eee00
EagleMsgSpy,SHA1,880c46bf7e65e3f9a081f42582af1f072e22cf1a
EagleMsgSpy,SHA1,0b1d3d87a453f63129e73b2a32d95ef3eea94b4e
EagleMsgSpy,SHA1,8ee651a90c36a98b2ab240efb64c597c21fb6f1e
EagleMsgSpy,SHA1,f0f3e8f01a17c7d5be440dfa7ef7e5ac1f068fe5
EagleMsgSpy,SHA1,9557eebe4ee2dc602750365e722002d9f686b7fb
EagleMsgSpy,SHA1,29bbb04c0180e78bd6bad49719ce92ae17081a3b
EagleMsgSpy,SHA1,01003f047caa05873ee420e29ee54d6cc8203ca6
EagleMsgSpy,SHA1,64aca40e982836b72f156fb66b6383a0634d12cc
EagleMsgSpy,SHA1,e6b270be7a6c3cca16ae7268f3a93c74c14b0510
EagleMsgSpy,SHA1,caa93aa37353cab26a30e291c41fe579d3304e1a
EagleMsgSpy,SHA1,d6d706b23caefb2822914e294452ada77710eff3
EagleMsgSpy,SHA1,4dfcc0b99f81b66c56059a72d4e149bc5d728b87
EagleMsgSpy,SHA1,81c572580d09231fbdc3cf4fedb2aa07be3b7769
EagleMsgSpy,SHA1,59987ceadbd899314ffcf77958faf3b35aa064cd
EagleMsgSpy,SHA1,89642d092adaea7ad1e5ae77dea97bbdef5839d1
EagleMsgSpy,SHA1,6d043b4d7bc513cc6d3e308a84ed8b63e3bab4f6
EagleMsgSpy,IP,61.136.71.171
EagleMsgSpy,IP,149.28.21.203
EagleMsgSpy,IP,47.112.137.199
EagleMsgSpy,IP,59.48.241.214
EagleMsgSpy,IP,61.163.69.238
EagleMsgSpy,IP,59.48.241.22
EagleMsgSpy,IP,220.168.203.197
EagleMsgSpy,IP,218.200.20.254
EagleMsgSpy,IP,202.107.80.34
EagleMsgSpy,IP,124.163.212.149
EagleMsgSpy,IP,119.36.193.210
EagleMsgSpy,IP,101.201.213.210
EagleMsgSpy,IP,111.21.6.126
EagleMsgSpy,Domain,xkong.tzsafe.com
EagleMsgSpy,Domain,www.tzsafe.com
EagleMsgSpy,Domain,qzapp.tzsafe.com
EagleMsgSpy,Domain,kong.tzsafe.com
EagleMsgSpy,Domain,i.tzsafe.com
EagleMsgSpy,Domain,git.tzsafe.com
EagleMsgSpy,Domain,es.ngrok.tzsafe.com
EagleMsgSpy,Domain,efence.demo.tzsafe.com
EagleMsgSpy,Domain,eagle.zrtsafe.com
EagleMsgSpy,Domain,eagle.tzsafe.tk
EagleMsgSpy,Domain,eagle.tzsafe.com
EagleMsgSpy,Domain,eagle.demo.tzsafe.com
EagleMsgSpy,Domain,bug.tzsafe.com
