Malware Family,IOC Type,IOC
PlainGnome,SHA256,2c7827f92a103db1b299f334043fbdc73805bbee11f4bfac195f672ba0464d22
PlainGnome,SHA256,39cb17cb03a794e69eb4f0694e90e41a8cfb8480b82da82fcbd4a88dfe49930d
PlainGnome,SHA256,7a8ec25f3d4a5c6b4fbdb1002ce22ff0352ce65c0f4ddc9567458e8fcb964845
PlainGnome,SHA256,8407fed605805f0e7ef9628767d0aff1014e7231549b09f3c0d0cb723f07c48a
PlainGnome,SHA256,86e51f1cc8213e173e47080ab45577e922e624006954de73ebae531589c912f4
PlainGnome,SHA256,cb648ba5cce810e5ba17b89ca2c346bd3f0ad612834c225ec7b55871c4acc085
PlainGnome,SHA256,ce6e5838f3ada452b64ffc6261e9bf74479bd31e83f77c7409c89564846db6a3
PlainGnome,SHA256,f0acf9558b7a4fcdaa119731ad5fb5bbdf5a704c9be9e929735a4679735989db
PlainGnome,Domain,llkeyvost.ddns.net
PlainGnome,Domain,ltkwark.ddns.net
PlainGnome,Domain,ollymap.pw
PlainGnome,Domain,wleak.pw
